Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1366,"Quick 6's","05/02/2012",1,"2","984730","883400"
1366,"Quick 6's","05/02/2012",1,"4","151452","138844"
1366,"Quick 6's","05/02/2012",1,"6","75726","70157"
1366,"Quick 6's","05/02/2012",1,"12","94714","88394"
1366,"Quick 6's","05/02/2012",1,"20","40736","38260"
1366,"Quick 6's","05/02/2012",1,"30","3789","3580"
1366,"Quick 6's","05/02/2012",1,"60","1902","1780"
1366,"Quick 6's","05/02/2012",1,"100","467","444"
1366,"Quick 6's","05/02/2012",1,"160","947","886"
1366,"Quick 6's","05/02/2012",1,"600","482","449"
1366,"Quick 6's","05/02/2012",1,TOTAL,"2491253","2218332"
1367,"Black Onyx 7's","03/18/2012",5,"5","574005","539363"
1367,"Black Onyx 7's","03/18/2012",5,"10","615104","581588"
1367,"Black Onyx 7's","03/18/2012",5,"15","164033","155335"
1367,"Black Onyx 7's","03/18/2012",5,"20","205017","196292"
1367,"Black Onyx 7's","03/18/2012",5,"50","17957","17362"
1367,"Black Onyx 7's","03/18/2012",5,"100","20779","19746"
1367,"Black Onyx 7's","03/18/2012",5,"500","3325","3190"
1367,"Black Onyx 7's","03/18/2012",5,"2000","134","130"
1367,"Black Onyx 7's","03/18/2012",5,"70000","6","6"
1367,"Black Onyx 7's","03/18/2012",5,TOTAL,"1600360","1513012"
1369,"Happy Holidays!","04/04/2012",1,"1","1299520","1132949"
1369,"Happy Holidays!","04/04/2012",1,"2","893764","801206"
1369,"Happy Holidays!","04/04/2012",1,"4","162610","148607"
1369,"Happy Holidays!","04/04/2012",1,"5","162629","149319"
1369,"Happy Holidays!","04/04/2012",1,"10","121886","113619"
1369,"Happy Holidays!","04/04/2012",1,"20","81181","76707"
1369,"Happy Holidays!","04/04/2012",1,"40","9388","8913"
1369,"Happy Holidays!","04/04/2012",1,"50","4792","4537"
1369,"Happy Holidays!","04/04/2012",1,"100","1469","1376"
1369,"Happy Holidays!","04/04/2012",1,"500","402","384"
1369,"Happy Holidays!","04/04/2012",1,"1000","150","142"
1369,"Happy Holidays!","04/04/2012",1,TOTAL,"2737791","2437759"
1370,"Silver Bells","",5,"5","1436949","875093"
1370,"Silver Bells","",5,"10","1436840","892804"
1370,"Silver Bells","",5,"20","403952","254907"
1370,"Silver Bells","",5,"50","187334","118707"
1370,"Silver Bells","",5,"100","23566","14859"
1370,"Silver Bells","",5,"500","2376","1521"
1370,"Silver Bells","",5,"1000","1243","756"
1370,"Silver Bells","",5,"5000","52","35"
1370,"Silver Bells","",5,"175000","10","6"
1370,"Silver Bells","",5,TOTAL,"3492322","2158688"
1371,"Holiday Gold","05/02/2012",2,"2","575296","505287"
